Area1_1.Task, Area1_1.TaskBeginning, Area1_1.TaskEnd, Area1_1StartInThisArea, Area1_1EndInThisArea, Area1_1.Worker, Area1_1.NumberOfWorkers, Area1_2.Task, Area1_2.TaskBeginning, Area1_2.TaskEnd, Area1_2StartInThisArea, Area1_2EndInThisArea, Area1_2.Worker, Area1_2.NumberOfWorkers, Area1_3.Task, Area1_3.TaskBeginning, Area1_3.TaskEnd, Area1_3StartInThisArea, Area1_3EndInThisArea, Area1_3.Worker, Area1_3.NumberOfWorkers, Area1_4.Task, Area1_4.TaskBeginning, Area1_4.TaskEnd, Area1_4StartInThisArea, Area1_4EndInThisArea, Area1_4.Worker, Area1_4.NumberOfWorkers, Area1_5.Task, Area1_5.TaskBeginning, Area1_5.TaskEnd, Area1_5StartInThisArea, Area1_5EndInThisArea, Area1_5.Worker, Area1_5.NumberOfWorkers, Area2_1.Task, Area2_1.TaskBeginning, Area2_1.TaskEnd, Area2_1StartInThisArea, Area2_1EndInThisArea, Area2_1.Worker, Area2_1.NumberOfWorkers, Area2_2.Task, Area2_2.TaskBeginning, Area2_2.TaskEnd, Area2_2StartInThisArea, Area2_2EndInThisArea, Area2_2.Worker, Area2_2.NumberOfWorkers, Area2_3.Task, Area2_3.TaskBeginning, Area2_3.TaskEnd, Area2_3StartInThisArea, Area2_3EndInThisArea, Area2_3.Worker, Area2_3.NumberOfWorkers
125, 669, 693, 669, 677, 1, 1,		0, 0, 0, 0, 0, 0, 0,			119, 715, 728, 715, 728, 3, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			116, 582, 643, 582, 643, 6, 2,		46, 658, 660, 658, 660, 7, 1,		35, 645, 647, 645, 647, 8, 1		
120, 677, 681, 677, 681, 1, 2,		0, 0, 0, 0, 0, 0, 0,			191, 727, 735, 728, 732, 3, 1,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			131, 643, 649, 643, 649, 6, 1,		121, 660, 662, 660, 662, 7, 1,		201, 647, 658, 647, 658, 8, 2		
181, 681, 705, 681, 689, 1, 1,		0, 0, 0, 0, 0, 0, 0,			203, 732, 743, 732, 742, 3, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			107, 658, 682, 658, 682, 6, 2,		70, 662, 672, 662, 672, 7, 1,		107, 658, 682, 658, 682, 8, 2		
66, 689, 693, 689, 693, 1, 1,		0, 0, 0, 0, 0, 0, 0,			198, 742, 772, 742, 772, 3, 1,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			87, 682, 694, 682, 694, 6, 2,		87, 682, 694, 682, 694, 7, 2,		32, 682, 684, 682, 684, 8, 1		
24, 693, 699, 693, 699, 1, 1,		0, 0, 0, 0, 0, 0, 0,			36, 772, 774, 772, 774, 3, 1,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			22, 694, 702, 694, 702, 6, 2,		22, 694, 702, 694, 702, 7, 2,		118, 684, 726, 684, 726, 8, 1		
19, 699, 701, 699, 701, 1, 2,		0, 0, 0, 0, 0, 0, 0,			155, 774, 776, 774, 776, 3, 1,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			101, 705, 723, 705, 723, 6, 4,		101, 705, 723, 705, 723, 7, 4,		80, 726, 734, 726, 734, 8, 2		
64, 701, 703, 701, 703, 1, 1,		0, 0, 0, 0, 0, 0, 0,			192, 776, 778, 776, 778, 3, 1,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			67, 723, 727, 723, 726, 6, 1,		57, 727, 733, 727, 733, 7, 1,		188, 734, 738, 734, 738, 8, 1		
124, 703, 705, 703, 705, 1, 1,		0, 0, 0, 0, 0, 0, 0,			187, 775, 786, 783, 786, 3, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			80, 726, 734, 726, 734, 6, 2,		160, 734, 746, 734, 738, 7, 2,		160, 734, 746, 738, 746, 8, 2		
154, 705, 709, 705, 709, 1, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			160, 734, 746, 734, 746, 6, 2,		17, 746, 752, 746, 752, 7, 2,		17, 746, 752, 746, 752, 8, 2		
114, 709, 712, 709, 712, 1, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			4, 752, 755, 752, 755, 6, 0,		4, 752, 755, 752, 755, 7, 0,		62, 752, 756, 752, 756, 8, 1		
